"id","robot","match","piece","pickup","score","level","success","time","phase"
1094,1246,42,"cargo","floor","top-cargo","1","success",6211,"tele"
1095,1246,42,"cargo","floor","front-cargo","1","success",6438,"tele"
1096,1246,42,"cargo","floor","front-cargo","1","success",6024,"tele"
1097,4308,42,"cargo","preload","top-cargo","1","success",107609,"tele"
1098,7476,42,"hatch","preload","bot-rocket-mid","2","attempted",1331,"tele"
1099,7476,42,"cargo","floor","bot-cargo","1","success",4769,"tele"
1100,7476,42,"cargo","floor","top-cargo","1","success",14223,"tele"
1101,7476,42,"cargo","floor","top-cargo","1","success",4212,"tele"
1102,7476,42,"cargo","floor","top-cargo","1","success",11333,"tele"
1103,7476,42,"cargo","floor","bot-cargo","1","success",4336,"tele"
1104,7476,42,"cargo","floor","bot-cargo","1","success",24589,"tele"
1105,5719,42,"hatch","preload","dropped","0","dropped",6341,"sandstorm"
1106,5719,42,"hatch","bot-hp","bot-cargo","1","success",22721,"tele"
1107,5719,42,"hatch","bot-hp","dropped","0","dropped",1881,"tele"
1108,5719,42,"hatch","floor","dropped","0","dropped",13689,"tele"
1109,5036,43,"cargo","top-hp","top-cargo","1","success",1770,"tele"
1110,5036,43,"hatch","top-hp","dropped","0","dropped",11231,"tele"
1111,6878,43,"cargo","preload","top-cargo","1","success",14439,"sandstorm"
1112,1285,43,"hatch","top-hp","front-cargo","1","success",15469,"tele"
1113,1285,43,"cargo","floor","dropped","0","dropped",44787,"tele"
1114,1285,43,"cargo","floor","front-cargo","1","success",9711,"tele"
1115,7710,43,"hatch","bot-hp","dropped","0","dropped",70350,"tele"
1116,6867,43,"hatch","preload","bot-cargo","1","success",9129,"sandstorm"
1117,6867,43,"hatch","bot-hp","bot-cargo","1","success",6734,"tele"
1118,6867,43,"hatch","bot-hp","front-cargo","1","success",9240,"tele"
1119,6867,43,"hatch","bot-hp","top-cargo","1","success",18150,"tele"
1120,6867,43,"hatch","top-hp","bot-cargo","1","success",14742,"tele"
1121,6867,43,"hatch","bot-hp","bot-rocket-low","1","success",6443,"tele"
1122,6867,43,"hatch","bot-hp","bot-rocket-low","1","success",13841,"tele"
155,1285,1,"hatch","top-hp","bot-rocket-low","1","success",4744,"tele"
1123,6866,44,"cargo","preload","top-cargo","1","success",4484,"tele"
1124,6866,44,"cargo","floor","top-cargo","1","success",1605,"tele"
1125,6866,44,"cargo","floor","top-cargo","1","success",10947,"tele"
1126,6866,44,"hatch","floor","bot-rocket-low","1","attempted",14844,"tele"
1127,6866,44,"cargo","floor","bot-rocket-low","1","attempted",21436,"tele"
1128,6866,44,"cargo","floor","bot-cargo","1","success",4610,"tele"
1129,4939,44,"hatch","preload","bot-rocket-low","1","success",1769,"tele"
1130,4939,44,"hatch","bot-hp","bot-rocket-mid","2","success",33704,"tele"
1131,4939,44,"hatch","bot-hp","bot-rocket-high","3","success",17716,"tele"
1132,4939,44,"hatch","bot-hp","bot-rocket-low","1","success",5282,"tele"
1133,4939,44,"hatch","bot-hp","bot-rocket-high","3","success",11701,"tele"
1134,4939,44,"hatch","bot-hp","front-cargo","1","success",7571,"tele"
1135,4939,44,"hatch","bot-hp","dropped","0","dropped",12790,"tele"
1136,7456,44,"hatch","preload","front-cargo","1","success",20983,"tele"
1137,7456,44,"cargo","top-hp","front-cargo","1","success",2679,"tele"
1138,7456,44,"cargo","top-hp","bot-cargo","1","success",17605,"tele"
1139,5076,44,"hatch","preload","bot-rocket-low","1","success",3875,"tele"
1140,5076,44,"cargo","bot-hp","bot-cargo","1","success",8407,"tele"
1141,5076,44,"cargo","bot-hp","bot-cargo","1","success",7849,"tele"
1142,5076,44,"cargo","bot-hp","bot-cargo","1","attempted",15814,"tele"
1143,5076,44,"cargo","bot-hp","bot-cargo","1","success",6562,"tele"
1144,5076,44,"hatch","bot-hp","front-cargo","1","success",27791,"tele"
1145,188,45,"hatch","preload","front-cargo","1","attempted",11869,"sandstorm"
1146,188,45,"hatch","bot-hp","bot-rocket-low","1","success",8442,"sandstorm"
1147,188,45,"hatch","bot-hp","bot-rocket-low","1","success",12838,"sandstorm"
1148,188,45,"cargo","floor","bot-cargo","1","attempted",6343,"sandstorm"
1149,188,45,"cargo","floor","top-cargo","1","success",1781,"sandstorm"
1150,188,45,"cargo","floor","bot-rocket-low","1","success",5037,"sandstorm"
1151,188,45,"cargo","floor","bot-rocket-low","1","success",6605,"sandstorm"
1152,188,45,"hatch","bot-hp","bot-rocket-mid","2","success",6518,"sandstorm"
1153,188,45,"hatch","bot-hp","bot-rocket-mid","2","success",18695,"sandstorm"
1154,188,45,"cargo","floor","bot-rocket-mid","2","success",4484,"sandstorm"
1155,188,45,"cargo","floor","bot-rocket-mid","2","success",6655,"sandstorm"
1156,188,45,"hatch","bot-hp","bot-rocket-high","3","success",4797,"sandstorm"
1157,5039,45,"hatch","preload","front-cargo","1","success",8159,"tele"
1158,5039,45,"cargo","bot-hp","bot-cargo","1","success",16108,"tele"
1159,5039,45,"cargo","bot-hp","bot-cargo","1","success",12660,"tele"
1160,5039,45,"cargo","bot-hp","bot-cargo","1","success",4933,"tele"
1161,5039,45,"cargo","top-hp","top-cargo","1","success",14007,"tele"
1162,5039,45,"hatch","top-hp","front-cargo","1","success",10394,"tele"
1163,5024,45,"hatch","preload","bot-cargo","1","success",2594,"tele"
1164,5024,45,"hatch","top-hp","dropped","0","dropped",5702,"tele"
1165,5024,45,"cargo","top-hp","top-cargo","1","success",4266,"tele"
1166,5024,45,"cargo","top-hp","bot-cargo","1","success",11575,"tele"
1167,5024,45,"cargo","top-hp","bot-cargo","1","success",2482,"tele"
1168,5024,45,"cargo","top-hp","top-cargo","1","success",11532,"tele"
1169,7136,45,"hatch","preload","top-rocket-low","1","attempted",7368,"tele"
1170,7136,45,"cargo","top-hp","top-cargo","1","success",10756,"tele"
