"robot","match","level","success","time","phase","id"
919,28,1,"scored",NULL,"sandstorm",342
919,28,1,"scored",NULL,"tele",343
4308,28,2,"scored",NULL,"sandstorm",344
6878,28,1,"scored",NULL,"sandstorm",345
6342,28,2,"scored",NULL,"sandstorm",346
1285,29,2,"scored",NULL,"sandstorm",347
1285,29,3,"scored",NULL,"tele",348
5031,29,2,"scored",NULL,"sandstorm",349
5031,29,1,"scored",NULL,"tele",350
5911,29,2,"scored",NULL,"sandstorm",351
746,29,1,"scored",NULL,"sandstorm",352
746,29,2,"scored",NULL,"tele",353
5719,29,2,"scored",NULL,"sandstorm",354
4252,29,1,"scored",NULL,"sandstorm",355
4252,29,1,"scored",NULL,"tele",356
4939,30,1,"scored",NULL,"sandstorm",357
4939,30,1,"scored",NULL,"tele",358
2706,30,1,"scored",NULL,"sandstorm",359
2706,30,1,"scored",NULL,"tele",360
7136,30,1,"scored",NULL,"sandstorm",361
7136,30,1,"scored",NULL,"tele",362
7690,30,2,"scored",NULL,"sandstorm",363
7690,30,1,"scored",NULL,"tele",364
6162,30,1,"scored",NULL,"sandstorm",365
6397,30,1,"none",NULL,"sandstorm",366
5911,31,2,"none",NULL,"sandstorm",367
1334,31,1,"scored",NULL,"sandstorm",368
4308,31,1,"scored",NULL,"sandstorm",369
7520,31,2,"scored",NULL,"sandstorm",370
7520,31,1,"scored",NULL,"tele",371
5719,31,2,"scored",NULL,"sandstorm",372
5719,31,1,"scored",NULL,"tele",373
1285,31,2,"scored",NULL,"sandstorm",374
1285,31,3,"scored",NULL,"tele",375
746,32,1,"scored",NULL,"sandstorm",376
746,32,3,"scored",NULL,"tele",377
5039,32,2,"scored",NULL,"sandstorm",378
5039,32,1,"scored",NULL,"tele",379
7136,32,1,"none",NULL,"sandstorm",380
5036,32,2,"scored",NULL,"sandstorm",381
5036,32,1,"scored",NULL,"tele",382
4252,32,2,"none",NULL,"sandstorm",383
6867,32,2,"scored",NULL,"sandstorm",384
6867,32,2,"scored",NULL,"tele",385
5406,33,2,"scored",NULL,"sandstorm",386
5406,33,1,"scored",NULL,"tele",387
7690,33,2,"scored",NULL,"sandstorm",388
7690,33,1,"scored",NULL,"tele",389
6162,33,1,"scored",NULL,"sandstorm",390
1246,33,1,"scored",NULL,"sandstorm",391
1246,33,1,"scored",NULL,"tele",392
188,33,1,"scored",NULL,"sandstorm",393
188,33,3,"scored",NULL,"tele",394
7456,33,2,"none",NULL,"sandstorm",395
7456,33,1,"scored",NULL,"tele",396
7456,33,2,"none",NULL,"sandstorm",397
7456,33,1,"scored",NULL,"tele",398
7476,34,1,"scored",NULL,"sandstorm",399
7476,34,1,"scored",NULL,"tele",400
919,34,1,"scored",NULL,"sandstorm",401
919,34,1,"scored",NULL,"tele",402
6342,34,2,"scored",NULL,"sandstorm",403
6878,34,2,"scored",NULL,"sandstorm",404
6878,34,1,"scored",NULL,"tele",405
5031,34,2,"scored",NULL,"sandstorm",406
4939,34,1,"none",NULL,"sandstorm",407
4939,34,1,"scored",NULL,"tele",408
6866,35,2,"scored",NULL,"sandstorm",409
5076,35,2,"scored",NULL,"sandstorm",410
5076,35,1,"scored",NULL,"tele",411
2706,35,1,"scored",NULL,"sandstorm",414
2706,35,1,"scored",NULL,"tele",415
5024,35,2,"scored",NULL,"sandstorm",416
5024,35,1,"scored",NULL,"tele",417
6397,35,1,"scored",NULL,"sandstorm",418
7710,35,2,"scored",NULL,"sandstorm",419
7710,35,1,"scored",NULL,"tele",420
4308,36,2,"scored",NULL,"sandstorm",421
4308,36,1,"scored",NULL,"tele",422
6342,36,1,"scored",NULL,"sandstorm",423
6342,36,1,"scored",NULL,"tele",424
1334,36,2,"scored",NULL,"sandstorm",425
1334,36,1,"scored",NULL,"tele",426
7690,36,2,"scored",NULL,"sandstorm",427
7690,36,1,"scored",NULL,"tele",428
746,36,2,"scored",NULL,"sandstorm",429
746,36,3,"scored",NULL,"tele",430
5036,36,1,"scored",NULL,"sandstorm",431
5036,36,1,"scored",NULL,"tele",432
5406,37,2,"scored",NULL,"sandstorm",433
5406,37,3,"scored",NULL,"tele",434
919,37,1,"scored",NULL,"sandstorm",435
7520,37,1,"scored",NULL,"sandstorm",436
4252,37,2,"scored",NULL,"sandstorm",437
4252,37,1,"scored",NULL,"tele",438
5076,37,2,"scored",NULL,"sandstorm",439
5076,37,1,"scored",NULL,"tele",440
7710,37,2,"scored",NULL,"sandstorm",441
6867,38,2,"scored",NULL,"sandstorm",442
6867,38,2,"scored",NULL,"tele",443
5911,38,1,"scored",NULL,"sandstorm",444
5911,38,1,"scored",NULL,"tele",445
188,38,1,"scored",NULL,"sandstorm",446
188,38,3,"scored",NULL,"tele",447
5031,38,2,"scored",NULL,"sandstorm",448
5031,38,1,"scored",NULL,"tele",449
7476,38,1,"scored",NULL,"sandstorm",450
7476,38,1,"scored",NULL,"tele",451
5719,10,2,"scored",NULL,"sandstorm",452
5719,10,1,"scored",NULL,"tele",453
5076,11,2,"scored",NULL,"sandstorm",454
5076,11,1,"scored",NULL,"tele",455
2706,38,1,"scored",NULL,"sandstorm",456
2706,38,1,"scored",NULL,"tele",457
5039,39,2,"scored",NULL,"sandstorm",458
6866,39,2,"scored",NULL,"sandstorm",459
6866,39,1,"scored",NULL,"tele",460
5719,39,1,"scored",NULL,"sandstorm",461
6162,39,1,"scored",NULL,"sandstorm",462
4939,39,2,"scored",NULL,"sandstorm",465
4939,39,1,"scored",NULL,"tele",466
1285,40,2,"scored",NULL,"sandstorm",467
1285,40,3,"scored",NULL,"tele",468
7456,40,2,"scored",NULL,"sandstorm",469
7456,40,1,"scored",NULL,"tele",470
1246,40,1,"scored",NULL,"sandstorm",471
1246,40,1,"scored",NULL,"tele",472
5024,40,2,"scored",NULL,"sandstorm",473
5024,40,3,"scored",NULL,"tele",474
6878,40,2,"scored",NULL,"sandstorm",475
6878,40,1,"scored",NULL,"tele",476
7136,40,1,"scored",NULL,"sandstorm",477
1334,41,1,"scored",NULL,"sandstorm",478
1334,41,1,"scored",NULL,"tele",479
7690,41,2,"scored",NULL,"sandstorm",480
7690,41,1,"scored",NULL,"tele",481
919,41,1,"scored",NULL,"sandstorm",482
5031,41,2,"scored",NULL,"sandstorm",483
5031,41,1,"scored",NULL,"tele",484
5406,41,2,"scored",NULL,"sandstorm",485
5406,41,3,"scored",NULL,"tele",486
2706,41,1,"scored",NULL,"sandstorm",487
2706,41,1,"scored",NULL,"tele",488
746,42,2,"scored",NULL,"sandstorm",489
746,42,3,"scored",NULL,"tele",490
1246,42,1,"scored",NULL,"sandstorm",491
1246,42,1,"scored",NULL,"tele",492
4308,42,2,"none",NULL,"sandstorm",493
7476,42,1,"scored",NULL,"sandstorm",494
7476,42,1,"scored",NULL,"tele",495
5719,42,2,"scored",NULL,"sandstorm",496
5719,42,2,"scored",NULL,"tele",497
4252,42,1,"none",NULL,"sandstorm",498
5036,43,1,"scored",NULL,"sandstorm",499
6878,43,2,"scored",NULL,"sandstorm",500
6878,43,1,"scored",NULL,"tele",501
1285,43,2,"scored",NULL,"sandstorm",502
7710,43,2,"scored",NULL,"sandstorm",503
6162,43,1,"scored",NULL,"sandstorm",504
6867,43,2,"scored",NULL,"sandstorm",505
6867,43,2,"scored",NULL,"tele",506
5911,44,2,"scored",NULL,"sandstorm",507
5911,44,1,"scored",NULL,"tele",508
6866,44,2,"scored",NULL,"sandstorm",509
6866,44,1,"scored",NULL,"tele",510
4939,44,1,"scored",NULL,"sandstorm",511
4939,44,1,"scored",NULL,"tele",512
7456,44,2,"scored",NULL,"sandstorm",513
7456,44,1,"scored",NULL,"tele",514
5076,44,2,"scored",NULL,"sandstorm",515
5076,44,1,"scored",NULL,"tele",516
6397,44,1,"scored",NULL,"sandstorm",517
6342,45,1,"none",NULL,"sandstorm",518
6342,45,1,"scored",NULL,"tele",519
188,45,1,"scored",NULL,"sandstorm",520
188,45,1,"scored",NULL,"tele",521
5039,45,1,"none",NULL,"sandstorm",522
5039,45,1,"scored",NULL,"tele",523
5024,45,2,"scored",NULL,"sandstorm",524
5024,45,3,"scored",NULL,"tele",525
7136,45,1,"scored",NULL,"sandstorm",526
7136,45,1,"scored",NULL,"tele",527
7520,45,2,"scored",NULL,"sandstorm",528
7520,45,1,"scored",NULL,"tele",529
5911,46,2,"scored",NULL,"sandstorm",530
6867,46,1,"scored",NULL,"sandstorm",531
6867,46,2,"scored",NULL,"tele",532
4308,46,1,"scored",NULL,"sandstorm",533
5406,46,2,"scored",NULL,"sandstorm",534
5406,46,3,"scored",NULL,"tele",535
6162,46,1,"none",NULL,"sandstorm",536
7476,47,1,"scored",NULL,"sandstorm",537
7476,47,1,"scored",NULL,"tele",538
6866,47,2,"scored",NULL,"sandstorm",539
6866,47,1,"scored",NULL,"tele",540
6397,47,1,"scored",NULL,"sandstorm",541
188,47,1,"scored",NULL,"sandstorm",542
188,47,3,"scored",NULL,"tele",543
746,47,2,"scored",NULL,"sandstorm",544
746,47,3,"scored",NULL,"tele",545
6342,47,2,"scored",NULL,"sandstorm",546
1285,48,2,"scored",NULL,"sandstorm",549
1285,48,3,"scored",NULL,"tele",550
7710,48,2,"scored",NULL,"sandstorm",551
7710,48,1,"scored",NULL,"tele",552
1334,48,2,"scored",NULL,"sandstorm",553
1334,48,2,"scored",NULL,"tele",554
5036,48,1,"none",NULL,"sandstorm",555
5036,48,1,"scored",NULL,"tele",556
7136,48,1,"scored",NULL,"sandstorm",557
7136,48,1,"scored",NULL,"tele",558
4939,48,1,"scored",NULL,"sandstorm",559
4939,48,1,"scored",NULL,"tele",560
5039,49,1,"scored",NULL,"sandstorm",563
5039,49,1,"scored",NULL,"tele",564
6878,49,2,"scored",NULL,"sandstorm",565
7456,49,1,"scored",NULL,"sandstorm",566
7456,49,1,"scored",NULL,"tele",567
5031,49,2,"none",NULL,"sandstorm",569
5719,49,2,"none",NULL,"sandstorm",570
5719,49,2,"scored",NULL,"tele",571
5076,49,2,"scored",NULL,"sandstorm",572
5076,49,1,"scored",NULL,"tele",573
1246,50,1,"scored",NULL,"sandstorm",574
7690,50,2,"scored",NULL,"sandstorm",575
7690,50,1,"scored",NULL,"tele",576
5024,50,2,"scored",NULL,"sandstorm",577
5024,50,1,"scored",NULL,"tele",578
7520,50,1,"scored",NULL,"sandstorm",580
2706,50,1,"scored",NULL,"sandstorm",581
4252,50,1,"scored",NULL,"sandstorm",582
